,shapley_acc,shapley_recall
stft_itakura_saito,0.01781839999999759,0.01858779999999735
stft_beta_divergence,0.015456799999998945,0.018535599999997973
stft_cosh,0.025459700000004255,0.023829100000000998
stft_kl_divergence,0.03085510000002196,0.02697140000000325
stft_js_divergence,0.025022500000000596,0.026984500000003082
stft_manhattan,0.02078709999999734,0.018688299999997538
stft_euclidean,0.01675639999999734,0.01813579999999741
stft_chebyshev,0.004777599999999838,0.004511399999999866
stft_wasserstein,0.00024420000000001016,0.00023490000000000872
stft_cosine,0.017856299999996494,0.01628319999999816
melspectrogram_itakura_saito,0.014834199999998106,0.016953399999997877
melspectrogram_beta_divergence,0.014656799999998131,0.01605429999999852
melspectrogram_cosh,0.01833699999999737,0.01900319999999755
melspectrogram_kl_divergence,0.008773899999999151,0.012692099999998593
melspectrogram_js_divergence,0.015663299999997063,0.01705229999999708
melspectrogram_manhattan,0.01129389999999839,0.02206160000000306
melspectrogram_euclidean,0.00541029999999989,0.005944199999999704
melspectrogram_chebyshev,0.0030609999999999075,0.002972999999999925
melspectrogram_wasserstein,0.00036470000000000567,0.0003548000000000051
melspectrogram_cosine,0.0038336999999997613,0.0043620999999999166
mfcc_itakura_saito,0.0020932999999999243,0.0019970999999999383
mfcc_beta_divergence,0.0014890999999999722,0.0014615999999999752
mfcc_cosh,0.0015315000000000404,0.001419300000000047
mfcc_kl_divergence,0.001846499999999944,0.001776599999999954
mfcc_js_divergence,0.0018941000000000311,0.0018557999999999453
mfcc_manhattan,0.00044370000000001013,0.0004234000000000086
mfcc_euclidean,0.0,0.0
mfcc_chebyshev,0.00024350000000001007,0.00024350000000001007
mfcc_wasserstein,0.0,0.0
mfcc_cosine,0.0018310999999999445,0.0017679999999999515
cqt_itakura_saito,0.018900899999997566,0.017441699999997954
cqt_beta_divergence,0.01693169999999824,0.021262299999997278
cqt_cosh,0.02053119999999669,0.018941699999997723
cqt_kl_divergence,0.019341099999997613,0.02151199999999802
cqt_js_divergence,0.019511499999996282,0.02820470000004204
cqt_manhattan,0.019793199999994026,0.02470710000002313
cqt_euclidean,0.013094099999996356,0.013565199999997172
cqt_chebyshev,0.004055399999999558,0.0036124999999996186
cqt_wasserstein,0.0004523000000000088,0.0004523000000000088
cqt_cosine,0.013979599999994959,0.015694799999994975
vqt_itakura_saito,0.014352799999998103,0.015288899999998166
vqt_beta_divergence,0.011152599999999029,0.01171789999999886
vqt_cosh,0.021017699999996912,0.017796999999997426
vqt_kl_divergence,0.01381309999999878,0.016882999999996984
vqt_js_divergence,0.011417999999999137,0.014678199999998174
vqt_manhattan,0.011486599999998695,0.010731699999999017
vqt_euclidean,0.008657399999999081,0.008028599999999102
vqt_chebyshev,0.0020620999999999556,0.0019949999999999573
vqt_wasserstein,0.0006877000000000124,0.000679600000000012
vqt_cosine,0.007679399999999334,0.007869299999999305
tonnetz_itakura_saito,0.0001425999999999974,0.0001425999999999974
tonnetz_beta_divergence,0.00014959999999999727,0.00014959999999999727
tonnetz_cosh,0.000817100000000027,0.000792400000000023
tonnetz_kl_divergence,0.0,0.0002617000000000129
tonnetz_js_divergence,0.0001434999999999974,0.0001434999999999974
tonnetz_manhattan,0.0,0.0
tonnetz_euclidean,0.00017449999999999928,0.00017109999999999874
tonnetz_chebyshev,0.0,0.0
tonnetz_wasserstein,0.00014159999999999742,0.00014159999999999742
tonnetz_cosine,0.0002412000000000097,0.0002412000000000097
spectral_itakura_saito,0.0013599000000000464,0.0013388000000000462
spectral_beta_divergence,0.000671300000000008,0.0006671000000000077
spectral_cosh,0.00023240000000000833,0.00022110000000000657
spectral_kl_divergence,0.0,0.0
spectral_js_divergence,0.00015879999999999706,0.00015879999999999706
spectral_manhattan,0.0,0.0
spectral_euclidean,0.00023360000000000852,0.00022360000000000695
spectral_chebyshev,0.0,0.0
spectral_wasserstein,0.0,0.0
spectral_cosine,0.0,0.0
pseudo_cqt_itakura_saito,0.01904199999999488,0.017952999999997374
pseudo_cqt_beta_divergence,0.015026999999998193,0.014770099999998837
pseudo_cqt_cosh,0.01463369999999889,0.014385599999999093
pseudo_cqt_kl_divergence,0.015094999999998972,0.019227999999996824
pseudo_cqt_js_divergence,0.028693000000034222,0.01738539999999728
pseudo_cqt_manhattan,0.01261929999999898,0.013827499999999104
pseudo_cqt_euclidean,0.006610999999999454,0.006986199999999427
pseudo_cqt_chebyshev,0.002699999999999906,0.0027583000000000316
pseudo_cqt_wasserstein,0.0006747000000000106,0.0006699000000000104
pseudo_cqt_cosine,0.005273399999999593,0.009004999999998231
hybrid_cqt_itakura_saito,0.016614899999998232,0.01605479999999844
hybrid_cqt_beta_divergence,0.013333299999998757,0.013469199999999062
hybrid_cqt_cosh,0.02002379999999729,0.0192271999999978
hybrid_cqt_kl_divergence,0.01252179999999889,0.015719299999997993
hybrid_cqt_js_divergence,0.0223112000000009,0.022321599999999726
hybrid_cqt_manhattan,0.011678299999998856,0.012924099999998552
hybrid_cqt_euclidean,0.007281399999999472,0.00711099999999945
hybrid_cqt_chebyshev,0.003865899999999642,0.004638499999999721
hybrid_cqt_wasserstein,0.0003740000000000041,0.000358600000000002
hybrid_cqt_cosine,0.0080995999999993,0.00967339999999842
iirt_itakura_saito,0.01297699999999861,0.020411699999994665
iirt_beta_divergence,0.01850839999999546,0.013671899999999057
iirt_cosh,0.019978799999997403,0.02135689999999898
iirt_kl_divergence,0.02160209999999805,0.028602100000040667
iirt_js_divergence,0.023579900000013036,0.01742039999999497
iirt_manhattan,0.007382899999999369,0.0074797999999994735
iirt_euclidean,0.005353499999999391,0.00840679999999854
iirt_chebyshev,0.0014949000000000097,0.0017234000000000392
iirt_wasserstein,0.00016009999999999703,0.00016009999999999703
iirt_cosine,0.006468899999997874,0.005425299999998797
